zip,percent_pop_0_17,percent_pop_70_80,median_hh_income,pop_bucket
8062,0.278,0.051,125926,high_under_18
8064,0,0.224,0,high_70_80
8066,0.236,0.049,49303,high_under_18
8075,0.211,0.054,79486,high_under_18
8081,0.248,0.043,83694,high_under_18
8093,0.208,0.044,54460,high_under_18
8097,0.212,0.054,79281,high_under_18
8102,0.277,0.036,20529,high_under_18
8103,0.284,0.044,22500,high_under_18
8104,0.343,0.029,22289,high_under_18
8105,0.318,0.04,34750,high_under_18
8110,0.232,0.044,65648,high_under_18
8505,0.218,0.045,88865,high_under_18
8514,0.243,0.052,90104,high_under_18
8515,0.261,0.037,142197,high_under_18
8518,0.199,0.054,61500,high_under_18
8520,0.233,0.05,87401,high_under_18
8528,0.219,0,0,high_under_18
8533,0.232,0.029,108185,high_under_18
8536,0.263,0.022,98883,high_under_18
8555,0.214,0.048,100556,high_under_18
8560,0.18,0.047,109973,high_under_18
8609,0.23,0.026,31881,high_under_18
8610,0.213,0.048,60620,high_under_18
8611,0.259,0.034,37248,high_under_18
8618,0.23,0.045,41920,high_under_18
8628,0.159,0.068,86315,high_70_80
8629,0.241,0.052,61058,high_under_18
8638,0.204,0.051,50754,high_under_18
8641,0.381,0,57500,high_under_18
8802,0.242,0.033,125494,high_under_18
8809,0.26,0.053,91157,high_under_18
8812,0.244,0.047,96463,high_under_18
8817,0.219,0.044,87688,high_under_18
8832,0.175,0.041,59009,high_under_18
8837,0.213,0.05,80423,high_under_18
8854,0.168,0.047,89617,high_under_18
8861,0.271,0.045,51389,high_under_18
8863,0.231,0.048,87357,high_under_18
8867,0.246,0.052,125694,high_under_18
8872,0.222,0.053,74985,high_under_18
8882,0.228,0.048,62179,high_under_18
8886,0.268,0.039,106012,high_under_18
8901,0.23,0.022,38413,high_under_18
8904,0.238,0.038,75913,high_under_18
10001,0.113,0.058,85221,high_70_80
10002,0.136,0.085,35449,high_70_80
10007,0.195,0.018,242644,high_under_18
10009,0.112,0.06,60521,high_70_80
10010,0.101,0.064,115084,high_70_80
10011,0.096,0.071,123208,high_70_80
10016,0.085,0.06,109250,high_70_80
10017,0.073,0.099,118469,high_70_80
10019,0.065,0.069,99063,high_70_80
10021,0.153,0.098,123842,high_70_80
10022,0.085,0.111,133208,high_70_80
10023,0.138,0.092,123951,high_70_80
10025,0.143,0.078,82352,high_70_80
10026,0.192,0.033,54349,high_under_18
10027,0.178,0.042,45536,high_under_18
10028,0.136,0.079,119203,high_70_80
10030,0.185,0.045,36118,high_under_18
10034,0.199,0.054,50909,high_under_18
10035,0.185,0.047,27932,high_under_18
10037,0.238,0.052,39979,high_under_18
10039,0.246,0.044,34197,high_under_18
10044,0.125,0.083,92623,high_70_80
10065,0.139,0.095,124322,high_70_80
10069,0.215,0.029,137105,high_under_18
10128,0.154,0.07,111937,high_70_80
10280,0.2,0.037,161419,high_under_18
10282,0.297,0.009,250001,high_under_18
10302,0.226,0.043,60968,high_under_18
10303,0.283,0.034,59898,high_under_18
10305,0.213,0.053,76044,high_under_18
10307,0.265,0.038,81356,high_under_18
10310,0.258,0.043,69838,high_under_18
10451,0.265,0.054,26979,high_under_18
10452,0.289,0.037,27206,high_under_18
10453,0.279,0.035,24421,high_under_18
10454,0.306,0.041,21542,high_under_18
10455,0.284,0.043,25489,high_under_18
10456,0.293,0.035,26724,high_under_18
10457,0.305,0.038,27036,high_under_18
10458,0.277,0.033,32129,high_under_18
10459,0.281,0.045,25762,high_under_18
10460,0.271,0.05,25948,high_under_18
10462,0.221,0.05,49962,high_under_18
10466,0.23,0.05,49906,high_under_18
10467,0.251,0.048,35381,high_under_18
10468,0.264,0.038,35398,high_under_18
10472,0.271,0.053,30593,high_under_18
10474,0.3,0.033,25896,high_under_18
10504,0.281,0.054,213234,high_under_18
10507,0.228,0.022,56736,high_under_18
10509,0.228,0.042,97286,high_under_18
10514,0.312,0.054,250001,high_under_18
10517,0.208,0.049,90125,high_under_18
10522,0.218,0.042,126988,high_under_18
10523,0.225,0.046,93033,high_under_18
10528,0.253,0.054,116026,high_under_18
10533,0.295,0.053,142869,high_under_18
10535,0.202,0,65294,high_under_18
10536,0.236,0.049,168490,high_under_18
10537,0.104,0.063,100729,high_70_80
10538,0.295,0.044,165735,high_under_18
10545,0,0.078,0,high_70_80
10547,0.192,0.04,97708,high_under_18
10550,0.229,0.05,43900,high_under_18
10566,0.227,0.053,54709,high_under_18
10578,0.214,0.009,105625,high_under_18
10591,0.212,0.05,89478,high_under_18
10595,0.169,0.048,108586,high_under_18
10603,0.203,0.049,100013,high_under_18
10604,0.219,0.051,88750,high_under_18
10606,0.211,0.048,79379,high_under_18
10705,0.24,0.044,49110,high_under_18
10914,0.087,0.108,131417,high_70_80
10916,0.242,0.049,104238,high_under_18
10917,0.249,0.029,99950,high_under_18
10922,0.201,0.043,98333,high_under_18
10930,0.269,0.051,131832,high_under_18
10931,0.256,0.04,68819,high_under_18
10952,0.463,0.032,56236,high_under_18
10953,0.192,0,0,high_under_18
10964,0.138,0.087,121528,high_70_80
10968,0.149,0.129,102847,high_70_80
10976,0.124,0.077,59896,high_70_80
10977,0.362,0.035,55277,high_under_18
10985,0,0.057,173710,high_70_80
10992,0.24,0.053,95107,high_under_18
10996,0.214,0.003,100234,high_under_18
11003,0.202,0.042,94746,high_under_18
11005,0,0.291,51801,high_70_80
11042,0,0.258,0,high_70_80
11096,0.251,0.038,53875,high_under_18
11101,0.171,0.046,57866,high_under_18
11201,0.166,0.047,116446,high_under_18
11204,0.282,0.047,47341,high_under_18
11205,0.268,0.028,51574,high_under_18
11206,0.278,0.044,34122,high_under_18
11207,0.248,0.042,35809,high_under_18
11208,0.274,0.036,39588,high_under_18
11210,0.268,0.054,62202,high_under_18
11211,0.244,0.03,66113,high_under_18
11212,0.239,0.048,25677,high_under_18
11213,0.233,0.049,40604,high_under_18
11215,0.207,0.04,116893,high_under_18
11217,0.173,0.04,99085,high_under_18
11218,0.281,0.044,64152,high_under_18
